localidades,contagem
"Camilo Castelo Branco

",1
Prefácio da V,1
serra,1
Cavei,1
Principiei,1
Rir,1
Vou,6
Subir,1
sunt lacrimoe,1
Virgílio,2
Platão,1
Ingleses,1
Gil,1
Molière,1
Voltaire,3
Satã,2
Prometeu,1
Lúcifer,1
Portugal,8
"santuário da família
Isto",1
Amador,1
Rabelais,1
Montaigne,1
Europa,1
João de Leide,1
"Petrus Ramus
Quando",1
França,6
verdugo,1
Mãe,1
Francisco Manuel de Melo,1
acre,1
Creio,2
Apresentara-mo José Barbosa,1
Rua da Fábrica.,1
Barbosa e Silva,1
Colégio da Formiga,3
"Porto
Barbosa",1
Evaristo Basto,1
José Maria,1
Mademoiselle Maria,1
Removi-as,1
Rua da Fábrica,1
Mademoiselle Marie,1
Mademoiselle Pauline,1
Porto,18
José Barbosa e Silva,1
Basto,1
José Maria Gonçalves,1
Carlos Pereira,34
Carlos,176
"Brasil
",1
Ninguém,2
Quinze,1
Céu,4
Senhor,2
Terra,2
Deus,22
Deixai-o,1
Saudade,1
"frigidíssima inverneira
Pegões de nordeste",1
crepita,1
Ameníssimo,1
Florença,1
Donosa,1
Branquejou,1
Relâmpago,1
molusco lerdo,1
Maio,1
alcantis,1
Carvalhais,2
Judas de Iscariotes,1
em Portugal,4
"D
Pedro de",1
Laura de Carvalhais,1
Teodoro de Almeida,1
Lisboa,53
Casa do Espírito Santo,1
"Pangloss.
     Casara",1
Paulo de Carvalhais,3
Sócrates,1
Minha,6
Vossa Senhoria,10
Tenho,13
Queira,3
"Queira pensar nisto..
Fui",1
Amestrado,1
Júlia,8
África,1
Pilatos,1
Fidalgos,1
acudia,1
Amável,1
libertino antigo,1
Laura,20
Virgem,4
Luís dos Carvalhais,1
"Cirano de Bergerac
Era",1
Coração,1
Aquele,2
Luís,5
Pereira,3
"teu irmão...
     - O",1
Ali,3
"Sintra
Nós",1
Dona Fulana,1
António Pereira da Cunha,1
Damião Fróis,1
Mana,1
Olhe,8
Diga,4
Sabe,2
Sei,9
Desconfiei,2
Pensar,1
"Luís
",1
"Carlos
Doía-lhe",1
Passeava,1
Luís de Carvalhais,1
mágoa,1
Alfred de Musset,1
Saía,1
Sinal,1
Verdade,1
Jorge Artur,1
Jorge Artur de Oliveira Pimentel,1
Douro,1
Tentei,1
Contaram-me,2
Diga-lhe,1
Quererá,1
Homens,1
"D
Elvira",1
João de Marana,1
Olha,7
João de Campos,6
Queres,5
Quero,7
Prova,1
Espero,4
Ia,3
Aberta,1
Conjecturas,2
Passos,1
Ouviu,1
Clérigos,1
Estás,4
Andando,1
Irmão,1
Arcos de Valdevez,1
Outono,1
Pai,1
Primavera,1
Resposta de Carlos,1
"Chamava-se Virgínia
",1
"Virgínia de Meneses Picaluga de Ias Cuencas
",1
Cuencas,1
Picalugas de Melgaço,1
"Quinta das Açudes
E",1
Cristóvão de Picaluga,1
longes terras,1
"Alto Minho
Representava",1
Açudes,1
Urraca,1
Afora,1
"D
Virgínia",2
ponte dos Arcos,1
Quinta das Açudes,2
Walter,1
Virgínia,22
Delibera,1
Avança,1
Entrei,3
Vossa Excelência,32
Momentos,1
Quis,2
Olhou Carlos,1
Aquilo,1
"Quinta de S
Brás",1
Estimarei,1
"Quinta dos Arcos...
     -",1
Adivinhei,1
Sofri,1
Estranha,1
"interrompeu Carlos
-",1
Caluniarias,1
"D
Virgínia!",1
Supõe,1
Nemrod,1
Desceu Carlos,1
Faça,1
Barca,1
"Sr
Carlos",1
Navarra,1
"D
Florizel de Niqueia",1
Amadis,1
Castália,1
Raios,1
"Carlos
«Vejam",1
repeliu Carlos,1
Perpétua,7
"Vossa Senhoria!
     ",1
